floors,layout,per_room_occ,responders,best_ms
4,T,7,2,4104.453797033108
4,T,7,3,2843.3575859205043
4,T,7,5,2467.9168098355403
4,T,7,7,2172.0571295484096
4,T,7,9,2043.305807696888
4,T,8,1,5367.062704175486
4,T,8,2,4328.453797033108
4,T,8,3,2955.3575859205043
4,T,8,5,2547.9168098355403
4,T,8,7,2228.0571295484096
4,T,8,9,2091.305807696888
4,T,9,1,5655.062704175486
4,T,9,2,4552.453797033108
4,T,9,3,3067.3575859205043
4,T,9,5,2627.9168098355403
4,T,9,7,2284.0571295484096
4,T,9,9,2139.305807696888
4,T,10,1,5943.062704175486
4,T,10,2,4776.453797033108
4,T,10,3,3179.3575859205043
4,T,10,5,2707.9168098355403
4,T,10,7,2340.0571295484096
4,T,10,9,2187.305807696888
5,BASELINE,1,1,3927.7071173575064
5,BASELINE,1,2,3259.0359171393197
5,BASELINE,1,3,2707.6915103598712
5,BASELINE,1,5,2530.464995968084
5,BASELINE,1,7,2498.186706397792
5,BASELINE,1,9,2219.3684925841453
5,BASELINE,2,1,4167.707117357507
5,BASELINE,2,2,3419.0359171393197
5,BASELINE,2,3,2787.6915103598712
5,BASELINE,2,5,2586.464995968084
5,BASELINE,2,7,2538.186706397792
5,BASELINE,2,9,2251.3684925841453
5,BASELINE,3,1,4407.707117357507
5,BASELINE,3,2,3579.0359171393197
5,BASELINE,3,3,2867.6915103598712
5,BASELINE,3,5,2642.464995968084
5,BASELINE,3,7,2578.186706397792
5,BASELINE,3,9,2283.3684925841453
5,BASELINE,4,1,4647.707117357507
5,BASELINE,4,2,3739.03591713932
5,BASELINE,4,3,2947.6915103598712
5,BASELINE,4,5,2698.464995968084
5,BASELINE,4,7,2618.186706397792
5,BASELINE,4,9,2315.3684925841453
5,BASELINE,5,1,4887.707117357507
5,BASELINE,5,2,3899.03591713932
5,BASELINE,5,3,3027.6915103598712
5,BASELINE,5,5,2754.464995968084
5,BASELINE,5,7,2658.186706397792
5,BASELINE,5,9,2347.3684925841453
5,BASELINE,6,1,5127.707117357507
5,BASELINE,6,2,4059.03591713932
5,BASELINE,6,3,3107.6915103598712
5,BASELINE,6,5,2810.464995968084
5,BASELINE,6,7,2698.186706397792
5,BASELINE,6,9,2379.3684925841453
