floors,layout,per_room_occ,responders,exit_combo_id,exit_combo,makespan_s,makespan_hms
1,BASELINE,10,8,0,LLLLRRRR,257.43171677461777,00:04:17
1,BASELINE,10,8,1,RRRRLLLL,257.43171677461777,00:04:17
1,BASELINE,10,8,2,LRLRLRLR,257.43171677461777,00:04:17
1,BASELINE,10,8,3,RLRLRLRL,257.43171677461777,00:04:17
1,BASELINE,10,9,0,LLLLLRRRR,257.43171677461777,00:04:17
1,BASELINE,10,9,1,RRRRRLLLL,257.43171677461777,00:04:17
1,BASELINE,10,9,2,LRLRLRLRL,257.43171677461777,00:04:17
1,BASELINE,10,9,3,RLRLRLRLR,257.43171677461777,00:04:17
1,BASELINE,10,10,0,LLLLLRRRRR,257.43171677461777,00:04:17
1,BASELINE,10,10,1,RRRRRLLLLL,257.43171677461777,00:04:17
1,BASELINE,10,10,2,LRLRLRLRLR,257.43171677461777,00:04:17
1,BASELINE,10,10,3,RLRLRLRLRL,257.43171677461777,00:04:17
1,T,1,1,0,L,577.585381369629,00:09:38
1,T,1,1,1,R,577.585381369629,00:09:38
1,T,1,2,0,LR,455.16420750110433,00:07:35
1,T,1,2,1,RL,455.16420750110433,00:07:35
1,T,1,3,0,LLR,341.16420750110433,00:05:41
1,T,1,3,1,RRL,455.16420750110433,00:07:35
1,T,1,3,2,LRL,341.16420750110433,00:05:41
1,T,1,3,3,RLR,455.16420750110433,00:07:35
1,T,1,4,0,LLRR,341.16420750110433,00:05:41
1,T,1,4,1,RRLL,341.16420750110433,00:05:41
1,T,1,4,2,LRLR,341.16420750110433,00:05:41
1,T,1,4,3,RLRL,341.16420750110433,00:05:41
1,T,1,5,0,LLLRR,290.884226227692,00:04:51
1,T,1,5,1,RRRLL,341.16420750110433,00:05:41
1,T,1,5,2,LRLRL,290.884226227692,00:04:51
1,T,1,5,3,RLRLR,341.16420750110433,00:05:41
1,T,1,6,0,LLLRRR,290.884226227692,00:04:51
1,T,1,6,1,RRRLLL,290.884226227692,00:04:51
1,T,1,6,2,LRLRLR,290.884226227692,00:04:51
1,T,1,6,3,RLRLRL,290.884226227692,00:04:51
1,T,1,7,0,LLLLRRR,257.054294125778,00:04:17
1,T,1,7,1,RRRRLLL,290.884226227692,00:04:51
1,T,1,7,2,LRLRLRL,257.054294125778,00:04:17
1,T,1,7,3,RLRLRLR,290.884226227692,00:04:51
1,T,1,8,0,LLLLRRRR,257.054294125778,00:04:17
1,T,1,8,1,RRRRLLLL,257.054294125778,00:04:17
1,T,1,8,2,LRLRLRLR,257.054294125778,00:04:17
1,T,1,8,3,RLRLRLRL,257.054294125778,00:04:17
1,T,1,9,0,LLLLLRRRR,243.01986961148376,00:04:03
1,T,1,9,1,RRRRRLLLL,257.054294125778,00:04:17
1,T,1,9,2,LRLRLRLRL,243.01986961148376,00:04:03
1,T,1,9,3,RLRLRLRLR,257.054294125778,00:04:17
1,T,1,10,0,LLLLLRRRRR,243.01986961148376,00:04:03
1,T,1,10,1,RRRRRLLLLL,243.01986961148376,00:04:03
1,T,1,10,2,LRLRLRLRLR,243.01986961148376,00:04:03
1,T,1,10,3,RLRLRLRLRL,243.01986961148376,00:04:03
1,T,2,1,0,L,649.5853813696289,00:10:50
1,T,2,1,1,R,649.5853813696289,00:10:50
